Calculation1,City,Count,County/State/ Territory,Gender,School,Pivot Field Values
AGOURA HIGH SCHOOL50003,Agoura Hills,Enr,Los Angeles,Female,AGOURA HIGH SCHOOL,29
AGOURA HIGH SCHOOL50003,Agoura Hills,Adm,Los Angeles,Female,AGOURA HIGH SCHOOL,52
AGOURA HIGH SCHOOL50003,Agoura Hills,App,Los Angeles,Female,AGOURA HIGH SCHOOL,91
AGOURA HIGH SCHOOL50003,Agoura Hills,Enr,Los Angeles,All,AGOURA HIGH SCHOOL,49
AGOURA HIGH SCHOOL50003,Agoura Hills,Adm,Los Angeles,All,AGOURA HIGH SCHOOL,91
AGOURA HIGH SCHOOL50003,Agoura Hills,App,Los Angeles,All,AGOURA HIGH SCHOOL,160
ALAIN LEROY LOCKE COLLEGE PREP54367,Los Angeles,Enr,Los Angeles,Male,ALAIN LEROY LOCKE COLLEGE PREP,3
ALAIN LEROY LOCKE COLLEGE PREP54367,Los Angeles,Adm,Los Angeles,Male,ALAIN LEROY LOCKE COLLEGE PREP,4
ALAIN LEROY LOCKE COLLEGE PREP54367,Los Angeles,App,Los Angeles,Male,ALAIN LEROY LOCKE COLLEGE PREP,18
ALAIN LEROY LOCKE COLLEGE PREP54367,Los Angeles,Enr,Los Angeles,Female,ALAIN LEROY LOCKE COLLEGE PREP,5
ALAIN LEROY LOCKE COLLEGE PREP54367,Los Angeles,Adm,Los Angeles,Female,ALAIN LEROY LOCKE COLLEGE PREP,13
ALAIN LEROY LOCKE COLLEGE PREP54367,Los Angeles,App,Los Angeles,Female,ALAIN LEROY LOCKE COLLEGE PREP,38
ALAIN LEROY LOCKE COLLEGE PREP54367,Los Angeles,Enr,Los Angeles,All,ALAIN LEROY LOCKE COLLEGE PREP,8
ALAIN LEROY LOCKE COLLEGE PREP54367,Los Angeles,Adm,Los Angeles,All,ALAIN LEROY LOCKE COLLEGE PREP,17
ALAIN LEROY LOCKE COLLEGE PREP54367,Los Angeles,App,Los Angeles,All,ALAIN LEROY LOCKE COLLEGE PREP,56
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Enr,Alameda,Male,ALAMEDA COMMUNITY LEARNING CTR,4
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Adm,Alameda,Male,ALAMEDA COMMUNITY LEARNING CTR,6
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,App,Alameda,Male,ALAMEDA COMMUNITY LEARNING CTR,10
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Enr,Alameda,Female,ALAMEDA COMMUNITY LEARNING CTR,5
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Adm,Alameda,Female,ALAMEDA COMMUNITY LEARNING CTR,8
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,App,Alameda,Female,ALAMEDA COMMUNITY LEARNING CTR,9
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Enr,Alameda,All,ALAMEDA COMMUNITY LEARNING CTR,9
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Adm,Alameda,All,ALAMEDA COMMUNITY LEARNING CTR,14
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,App,Alameda,All,ALAMEDA COMMUNITY LEARNING CTR,19
ALAMEDA HIGH SCHOOL50005,Alameda,Enr,Alameda,Male,ALAMEDA HIGH SCHOOL,39
ALAMEDA HIGH SCHOOL50005,Alameda,Adm,Alameda,Male,ALAMEDA HIGH SCHOOL,81
ALAMEDA HIGH SCHOOL50005,Alameda,App,Alameda,Male,ALAMEDA HIGH SCHOOL,114
ALAMEDA HIGH SCHOOL50005,Alameda,Enr,Alameda,Female,ALAMEDA HIGH SCHOOL,37
ALAMEDA HIGH SCHOOL50005,Alameda,Adm,Alameda,Female,ALAMEDA HIGH SCHOOL,71
ALAMEDA HIGH SCHOOL50005,Alameda,App,Alameda,Female,ALAMEDA HIGH SCHOOL,104
ALAMEDA HIGH SCHOOL50005,Alameda,Enr,Alameda,All,ALAMEDA HIGH SCHOOL,77
ALAMEDA HIGH SCHOOL50005,Alameda,Adm,Alameda,All,ALAMEDA HIGH SCHOOL,154
ALAMEDA HIGH SCHOOL50005,Alameda,App,Alameda,All,ALAMEDA HIGH SCHOOL,221
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Enr,Alameda,Male,ALAMEDA SCIENCE & TECHLGY INST,5
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Adm,Alameda,Male,ALAMEDA SCIENCE & TECHLGY INST,9
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,App,Alameda,Male,ALAMEDA SCIENCE & TECHLGY INST,14
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Enr,Alameda,Female,ALAMEDA SCIENCE & TECHLGY INST,14
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,Adm,Alameda,Female,ALAMEDA SCIENCE & TECHLGY INST,20
ALAMEDA SCIENCE & TECHLGY INST50029,Alameda,App,Alameda,Female,ALAMEDA SCIENCE & TECHLGY INST,22
