Calculation1,City,County/State/Country,Measure Names,School,Measure Values
STEAM LEGACY HIGH SCHOOL CMPLX054649,South Gate,Los Angeles,Adm GPA,STEAM LEGACY HIGH SCHOOL CMPLX,7.714047619
STEAM LEGACY HIGH SCHOOL CMPLX054649,South Gate,Los Angeles,App GPA,STEAM LEGACY HIGH SCHOOL CMPLX,10.716595450
STEAMBOAT SPRINGS HIGH SCHOOL061310,Steamboat Spring,Colorado,Enrl GPA,STEAMBOAT SPRINGS HIGH SCHOOL,
STEAMBOAT SPRINGS HIGH SCHOOL061310,Steamboat Spring,Colorado,Adm GPA,STEAMBOAT SPRINGS HIGH SCHOOL,3.97875
STEAMBOAT SPRINGS HIGH SCHOOL061310,Steamboat Spring,Colorado,App GPA,STEAMBOAT SPRINGS HIGH SCHOOL,19.366888889
STEELE CANYON HIGH SCHOOL053613,Spring Valley,San Diego,Enrl GPA,STEELE CANYON HIGH SCHOOL,55.873829546
STEELE CANYON HIGH SCHOOL053613,Spring Valley,San Diego,Adm GPA,STEELE CANYON HIGH SCHOOL,54.727399898
STEELE CANYON HIGH SCHOOL053613,Spring Valley,San Diego,App GPA,STEELE CANYON HIGH SCHOOL,52.565291737
STEILACOOM SENIOR HIGH SCHOOL481325,Steilacoom,Washington,Enrl GPA,STEILACOOM SENIOR HIGH SCHOOL,
STEILACOOM SENIOR HIGH SCHOOL481325,Steilacoom,Washington,Adm GPA,STEILACOOM SENIOR HIGH SCHOOL,7.927428571
STEILACOOM SENIOR HIGH SCHOOL481325,Steilacoom,Washington,App GPA,STEILACOOM SENIOR HIGH SCHOOL,27.525512821
STEM ACADEMY OF HOLLYWOOD054624,Hollywood,Los Angeles,Enrl GPA,STEM ACADEMY OF HOLLYWOOD,7.913017857
STEM ACADEMY OF HOLLYWOOD054624,Hollywood,Los Angeles,Adm GPA,STEM ACADEMY OF HOLLYWOOD,11.525805556
STEM ACADEMY OF HOLLYWOOD054624,Hollywood,Los Angeles,App GPA,STEM ACADEMY OF HOLLYWOOD,18.191174998
STEM3 ACADEMY054853,Valley Glen,Los Angeles,Enrl GPA,STEM3 ACADEMY,
STEM3 ACADEMY054853,Valley Glen,Los Angeles,Adm GPA,STEM3 ACADEMY,
STEM3 ACADEMY054853,Valley Glen,Los Angeles,App GPA,STEM3 ACADEMY,3.985
STEPHEN F AUSTIN HIGH SCHOOL440320,Austin,Texas,Enrl GPA,STEPHEN F AUSTIN HIGH SCHOOL,3.928333333
STEPHEN F AUSTIN HIGH SCHOOL440320,Austin,Texas,Adm GPA,STEPHEN F AUSTIN HIGH SCHOOL,35.459638528
STEPHEN F AUSTIN HIGH SCHOOL440320,Austin,Texas,App GPA,STEPHEN F AUSTIN HIGH SCHOOL,70.009879620
STEPHEN F AUSTIN HIGH SCHOOL445860,Sugar Land,Texas,Enrl GPA,STEPHEN F AUSTIN HIGH SCHOOL,
STEPHEN F AUSTIN HIGH SCHOOL445860,Sugar Land,Texas,Adm GPA,STEPHEN F AUSTIN HIGH SCHOOL,23.998901515
STEPHEN F AUSTIN HIGH SCHOOL445860,Sugar Land,Texas,App GPA,STEPHEN F AUSTIN HIGH SCHOOL,69.943135892
STEPHEN T MATHER HIGH SCHOOL141307,Chicago,Illinois,Enrl GPA,STEPHEN T MATHER HIGH SCHOOL,
STEPHEN T MATHER HIGH SCHOOL141307,Chicago,Illinois,Adm GPA,STEPHEN T MATHER HIGH SCHOOL,
STEPHEN T MATHER HIGH SCHOOL141307,Chicago,Illinois,App GPA,STEPHEN T MATHER HIGH SCHOOL,3.4
STEPHEN W KEARNY HIGH SCHOOL052895,San Diego,San Diego,Enrl GPA,STEPHEN W KEARNY HIGH SCHOOL,50.809444852
STEPHEN W KEARNY HIGH SCHOOL052895,San Diego,San Diego,Adm GPA,STEPHEN W KEARNY HIGH SCHOOL,53.465099158
STEPHEN W KEARNY HIGH SCHOOL052895,San Diego,San Diego,App GPA,STEPHEN W KEARNY HIGH SCHOOL,52.054038405
STEVENS HIGH SCHOOL421072,Rapid City,South Dakota,Enrl GPA,STEVENS HIGH SCHOOL,
STEVENS HIGH SCHOOL421072,Rapid City,South Dakota,Adm GPA,STEVENS HIGH SCHOOL,3.958333333
STEVENS HIGH SCHOOL421072,Rapid City,South Dakota,App GPA,STEVENS HIGH SCHOOL,11.930333333
STEVENS POINT SENIOR HS502195,Stevens Point,Wisconsin,Enrl GPA,STEVENS POINT SENIOR HS,
STEVENS POINT SENIOR HS502195,Stevens Point,Wisconsin,Adm GPA,STEVENS POINT SENIOR HS,3.962
STEVENS POINT SENIOR HS502195,Stevens Point,Wisconsin,App GPA,STEVENS POINT SENIOR HS,4.035714286
STEVESTON LONDON SECONDARY SCH821307,"n/a ",CANADA,Enrl GPA,STEVESTON LONDON SECONDARY SCH,
STEVESTON LONDON SECONDARY SCH821307,"n/a ",CANADA,Adm GPA,STEVESTON LONDON SECONDARY SCH,
STEVESTON LONDON SECONDARY SCH821307,"n/a ",CANADA,App GPA,STEVESTON LONDON SECONDARY SCH,7.614
STILLWATER AREA SENIOR HS242450,Stillwater,Minnesota,Enrl GPA,STILLWATER AREA SENIOR HS,
STILLWATER AREA SENIOR HS242450,Stillwater,Minnesota,Adm GPA,STILLWATER AREA SENIOR HS,4.010833333
STILLWATER AREA SENIOR HS242450,Stillwater,Minnesota,App GPA,STILLWATER AREA SENIOR HS,19.425833333
STOCKDALE HIGH SCHOOL050217,Bakersfield,Kern,Enrl GPA,STOCKDALE HIGH SCHOOL,93.250758813
STOCKDALE HIGH SCHOOL050217,Bakersfield,Kern,Adm GPA,STOCKDALE HIGH SCHOOL,93.232887422
STOCKDALE HIGH SCHOOL050217,Bakersfield,Kern,App GPA,STOCKDALE HIGH SCHOOL,91.042525222
STOCKTON COLG INTNL SECND SCHL054424,Stockton,San Joaquin,Enrl GPA,STOCKTON COLG INTNL SECND SCHL,7.6785
STOCKTON COLG INTNL SECND SCHL054424,Stockton,San Joaquin,Adm GPA,STOCKTON COLG INTNL SECND SCHL,11.685357143
STOCKTON COLG INTNL SECND SCHL054424,Stockton,San Joaquin,App GPA,STOCKTON COLG INTNL SECND SCHL,17.155864286
STOCKTON EARLY COLLEGE ACADEMY054411,Stockton,San Joaquin,Enrl GPA,STOCKTON EARLY COLLEGE ACADEMY,19.159587548
STOCKTON EARLY COLLEGE ACADEMY054411,Stockton,San Joaquin,Adm GPA,STOCKTON EARLY COLLEGE ACADEMY,18.930319566
STOCKTON EARLY COLLEGE ACADEMY054411,Stockton,San Joaquin,App GPA,STOCKTON EARLY COLLEGE ACADEMY,17.586524719
STONE BRIDGE HIGH SCHOOL470139,Ashburn,Virginia,Enrl GPA,STONE BRIDGE HIGH SCHOOL,4.206
STONE BRIDGE HIGH SCHOOL470139,Ashburn,Virginia,Adm GPA,STONE BRIDGE HIGH SCHOOL,12.205714286
STONE BRIDGE HIGH SCHOOL470139,Ashburn,Virginia,App GPA,STONE BRIDGE HIGH SCHOOL,27.029031746
STONE RIDGE CHRISTIAN HIGH SCH051944,Merced,Merced,Enrl GPA,STONE RIDGE CHRISTIAN HIGH SCH,
STONE RIDGE CHRISTIAN HIGH SCH051944,Merced,Merced,Adm GPA,STONE RIDGE CHRISTIAN HIGH SCH,
STONE RIDGE CHRISTIAN HIGH SCH051944,Merced,Merced,App GPA,STONE RIDGE CHRISTIAN HIGH SCH,7.254
STONE RIDGE SCH SACRED HEART210252,Bethesda,Maryland,Enrl GPA,STONE RIDGE SCH SACRED HEART,
STONE RIDGE SCH SACRED HEART210252,Bethesda,Maryland,Adm GPA,STONE RIDGE SCH SACRED HEART,3.768
STONE RIDGE SCH SACRED HEART210252,Bethesda,Maryland,App GPA,STONE RIDGE SCH SACRED HEART,14.737380952
STONELEIGH-BURNHAM SCHOOL220925,Greenfield,Massachusetts,Enrl GPA,STONELEIGH-BURNHAM SCHOOL,
STONELEIGH-BURNHAM SCHOOL220925,Greenfield,Massachusetts,Adm GPA,STONELEIGH-BURNHAM SCHOOL,
STONELEIGH-BURNHAM SCHOOL220925,Greenfield,Massachusetts,App GPA,STONELEIGH-BURNHAM SCHOOL,3.591666667
STONERIDGE PREP SCHOOL050534,Simi Valley,Ventura,Enrl GPA,STONERIDGE PREP SCHOOL,
STONERIDGE PREP SCHOOL050534,Simi Valley,Ventura,Adm GPA,STONERIDGE PREP SCHOOL,7.278
STONERIDGE PREP SCHOOL050534,Simi Valley,Ventura,App GPA,STONERIDGE PREP SCHOOL,7.07
STONERIDGE PREP SCHOOL050534,Tarzana,Los Angeles,Enrl GPA,STONERIDGE PREP SCHOOL,
STONERIDGE PREP SCHOOL050534,Tarzana,Los Angeles,Adm GPA,STONERIDGE PREP SCHOOL,
STONERIDGE PREP SCHOOL050534,Tarzana,Los Angeles,App GPA,STONERIDGE PREP SCHOOL,7.429666667
STONEY CREEK HIGH SCHOOL233201,Rochester Hills,Michigan,Enrl GPA,STONEY CREEK HIGH SCHOOL,
STONEY CREEK HIGH SCHOOL233201,Rochester Hills,Michigan,Adm GPA,STONEY CREEK HIGH SCHOOL,8.094
STONEY CREEK HIGH SCHOOL233201,Rochester Hills,Michigan,App GPA,STONEY CREEK HIGH SCHOOL,19.860666667
STONINGTON HIGH SCHOOL070607,Pawcatuck,Connecticut,Enrl GPA,STONINGTON HIGH SCHOOL,
STONINGTON HIGH SCHOOL070607,Pawcatuck,Connecticut,Adm GPA,STONINGTON HIGH SCHOOL,
STONINGTON HIGH SCHOOL070607,Pawcatuck,Connecticut,App GPA,STONINGTON HIGH SCHOOL,3.322
STONY BROOK SCHOOL335420,Stony Brook,New York,Enrl GPA,STONY BROOK SCHOOL,
STONY BROOK SCHOOL335420,Stony Brook,New York,Adm GPA,STONY BROOK SCHOOL,16.236794872
STONY BROOK SCHOOL335420,Stony Brook,New York,App GPA,STONY BROOK SCHOOL,26.783830802
STONY POINT HIGH SCHOOL446037,Round Rock,Texas,Enrl GPA,STONY POINT HIGH SCHOOL,
STONY POINT HIGH SCHOOL446037,Round Rock,Texas,Adm GPA,STONY POINT HIGH SCHOOL,11.957333333
STONY POINT HIGH SCHOOL446037,Round Rock,Texas,App GPA,STONY POINT HIGH SCHOOL,23.177654762
STORM KING SCHOOL331520,Cornwall On Huds,New York,Enrl GPA,STORM KING SCHOOL,
STORM KING SCHOOL331520,Cornwall On Huds,New York,Adm GPA,STORM KING SCHOOL,3.728333333
STORM KING SCHOOL331520,Cornwall On Huds,New York,App GPA,STORM KING SCHOOL,10.525619048
STRAKE JESUIT COLLEGE PREP443383,Houston,Texas,Enrl GPA,STRAKE JESUIT COLLEGE PREP,
STRAKE JESUIT COLLEGE PREP443383,Houston,Texas,Adm GPA,STRAKE JESUIT COLLEGE PREP,11.648666667
STRAKE JESUIT COLLEGE PREP443383,Houston,Texas,App GPA,STRAKE JESUIT COLLEGE PREP,44.737547619
STRATFORD HIGH SCHOOL443447,Houston,Texas,Enrl GPA,STRATFORD HIGH SCHOOL,
STRATFORD HIGH SCHOOL443447,Houston,Texas,Adm GPA,STRATFORD HIGH SCHOOL,45.426277778
STRATFORD HIGH SCHOOL443447,Houston,Texas,App GPA,STRATFORD HIGH SCHOOL,80.401720363
STRATH HAVEN HIGH SCHOOL395015,Wallingford,Pennsylvania,Enrl GPA,STRATH HAVEN HIGH SCHOOL,
STRATH HAVEN HIGH SCHOOL395015,Wallingford,Pennsylvania,Adm GPA,STRATH HAVEN HIGH SCHOOL,12.125
STRATH HAVEN HIGH SCHOOL395015,Wallingford,Pennsylvania,App GPA,STRATH HAVEN HIGH SCHOOL,23.076551587
STRATHMORE HIGH SCHOOL053450,Porterville,Tulare,Enrl GPA,STRATHMORE HIGH SCHOOL,3.926
STRATHMORE HIGH SCHOOL053450,Porterville,Tulare,Adm GPA,STRATHMORE HIGH SCHOOL,33.323722222
STRATHMORE HIGH SCHOOL053450,Porterville,Tulare,App GPA,STRATHMORE HIGH SCHOOL,34.789184938
STRATHMORE HIGH SCHOOL053450,Strathmore,Tulare,Enrl GPA,STRATHMORE HIGH SCHOOL,
STRATHMORE HIGH SCHOOL053450,Strathmore,Tulare,Adm GPA,STRATHMORE HIGH SCHOOL,3.78125
STRATHMORE HIGH SCHOOL053450,Strathmore,Tulare,App GPA,STRATHMORE HIGH SCHOOL,3.78125
STROUDSBURG HIGH SCHOOL394715,Stroudsburg,Pennsylvania,Enrl GPA,STROUDSBURG HIGH SCHOOL,
STROUDSBURG HIGH SCHOOL394715,Stroudsburg,Pennsylvania,Adm GPA,STROUDSBURG HIGH SCHOOL,
STROUDSBURG HIGH SCHOOL394715,Stroudsburg,Pennsylvania,App GPA,STROUDSBURG HIGH SCHOOL,3.858
STUART COUNTRY DAY SC SAC HRT311278,Princeton,New Jersey,Enrl GPA,STUART COUNTRY DAY SC SAC HRT,
STUART COUNTRY DAY SC SAC HRT311278,Princeton,New Jersey,Adm GPA,STUART COUNTRY DAY SC SAC HRT,3.942
STUART COUNTRY DAY SC SAC HRT311278,Princeton,New Jersey,App GPA,STUART COUNTRY DAY SC SAC HRT,11.741666667
STUART HALL HIGH SCHOOL053029,San Francisco,San Francisco,Enrl GPA,STUART HALL HIGH SCHOOL,36.953154762
STUART HALL HIGH SCHOOL053029,San Francisco,San Francisco,Adm GPA,STUART HALL HIGH SCHOOL,52.621186828
STUART HALL HIGH SCHOOL053029,San Francisco,San Francisco,App GPA,STUART HALL HIGH SCHOOL,51.387595043
STUART HALL SCHOOL472170,Staunton,Virginia,Enrl GPA,STUART HALL SCHOOL,
STUART HALL SCHOOL472170,Staunton,Virginia,Adm GPA,STUART HALL SCHOOL,11.701476190
STUART HALL SCHOOL472170,Staunton,Virginia,App GPA,STUART HALL SCHOOL,15.06975
STUDENT EMPOWERMENT ACADEMY051708,Los Angeles,Los Angeles,Enrl GPA,STUDENT EMPOWERMENT ACADEMY,7.652666667
STUDENT EMPOWERMENT ACADEMY051708,Los Angeles,Los Angeles,Adm GPA,STUDENT EMPOWERMENT ACADEMY,11.463
STUDENT EMPOWERMENT ACADEMY051708,Los Angeles,Los Angeles,App GPA,STUDENT EMPOWERMENT ACADEMY,27.625402597
STUTTGART HIGH SCHOOL576325,Apo,U.S. Armed Forces – Europe,Enrl GPA,STUTTGART HIGH SCHOOL,
STUTTGART HIGH SCHOOL576325,Apo,U.S. Armed Forces – Europe,Adm GPA,STUTTGART HIGH SCHOOL,
STUTTGART HIGH SCHOOL576325,Apo,U.S. Armed Forces – Europe,App GPA,STUTTGART HIGH SCHOOL,15.19175
STUYVESANT HIGH SCHOOL334070,New York,New York,Enrl GPA,STUYVESANT HIGH SCHOOL,47.175285714
STUYVESANT HIGH SCHOOL334070,New York,New York,Adm GPA,STUYVESANT HIGH SCHOOL,94.634599613
STUYVESANT HIGH SCHOOL334070,New York,New York,App GPA,STUYVESANT HIGH SCHOOL,92.832156099
SUBIACO ACADEMY042375,Subiaco,Arkansas,Enrl GPA,SUBIACO ACADEMY,
SUBIACO ACADEMY042375,Subiaco,Arkansas,Adm GPA,SUBIACO ACADEMY,
SUBIACO ACADEMY042375,Subiaco,Arkansas,App GPA,SUBIACO ACADEMY,7.301
SUBSIDIARY HS TAIYUAN NORMAL694476,"n/a ","CHINA, PEOPLES REPUBLIC",Enrl GPA,SUBSIDIARY HS TAIYUAN NORMAL,
SUBSIDIARY HS TAIYUAN NORMAL694476,"n/a ","CHINA, PEOPLES REPUBLIC",Adm GPA,SUBSIDIARY HS TAIYUAN NORMAL,
SUBSIDIARY HS TAIYUAN NORMAL694476,"n/a ","CHINA, PEOPLES REPUBLIC",App GPA,SUBSIDIARY HS TAIYUAN NORMAL,3.672
SUFFERN HIGH SCHOOL335435,Suffern,New York,Enrl GPA,SUFFERN HIGH SCHOOL,
SUFFERN HIGH SCHOOL335435,Suffern,New York,Adm GPA,SUFFERN HIGH SCHOOL,
SUFFERN HIGH SCHOOL335435,Suffern,New York,App GPA,SUFFERN HIGH SCHOOL,4.232
SUFFIELD ACADEMY070765,Suffield,Connecticut,Enrl GPA,SUFFIELD ACADEMY,
SUFFIELD ACADEMY070765,Suffield,Connecticut,Adm GPA,SUFFIELD ACADEMY,15.244818182
SUFFIELD ACADEMY070765,Suffield,Connecticut,App GPA,SUFFIELD ACADEMY,35.359238095
SUGAR BOWL ACADEMY052201,Norden,Placer,Enrl GPA,SUGAR BOWL ACADEMY,
SUGAR BOWL ACADEMY052201,Norden,Placer,Adm GPA,SUGAR BOWL ACADEMY,4.096
SUGAR BOWL ACADEMY052201,Norden,Placer,App GPA,SUGAR BOWL ACADEMY,4.096
SULTANA HIGH SCHOOL051187,Hesperia,San Bernardino,Enrl GPA,SULTANA HIGH SCHOOL,81.035457323
SULTANA HIGH SCHOOL051187,Hesperia,San Bernardino,Adm GPA,SULTANA HIGH SCHOOL,80.867693242
SULTANA HIGH SCHOOL051187,Hesperia,San Bernardino,App GPA,SULTANA HIGH SCHOOL,77.691989022
SUMMERFIELD WALDORF SCHOOL053349,Santa Rosa,Sonoma,Enrl GPA,SUMMERFIELD WALDORF SCHOOL,3.801666667
SUMMERFIELD WALDORF SCHOOL053349,Santa Rosa,Sonoma,Adm GPA,SUMMERFIELD WALDORF SCHOOL,68.354934343
SUMMERFIELD WALDORF SCHOOL053349,Santa Rosa,Sonoma,App GPA,SUMMERFIELD WALDORF SCHOOL,71.514539322
SUMMERVILLE UNION HIGH SCHOOL053560,Tuolumne,Tuolumne,Enrl GPA,SUMMERVILLE UNION HIGH SCHOOL,92.059720960
SUMMERVILLE UNION HIGH SCHOOL053560,Tuolumne,Tuolumne,Adm GPA,SUMMERVILLE UNION HIGH SCHOOL,94.638598856
SUMMERVILLE UNION HIGH SCHOOL053560,Tuolumne,Tuolumne,App GPA,SUMMERVILLE UNION HIGH SCHOOL,92.202158677
SUMMIT CHARTER COLLEGIATE ACAD054203,Porterville,Tulare,Enrl GPA,SUMMIT CHARTER COLLEGIATE ACAD,
SUMMIT CHARTER COLLEGIATE ACAD054203,Porterville,Tulare,Adm GPA,SUMMIT CHARTER COLLEGIATE ACAD,
SUMMIT CHARTER COLLEGIATE ACAD054203,Porterville,Tulare,App GPA,SUMMIT CHARTER COLLEGIATE ACAD,3.986666667
SUMMIT COUNTRY DAY SCHOOL361120,Cincinnati,Ohio,Enrl GPA,SUMMIT COUNTRY DAY SCHOOL,
SUMMIT COUNTRY DAY SCHOOL361120,Cincinnati,Ohio,Adm GPA,SUMMIT COUNTRY DAY SCHOOL,4.04
SUMMIT COUNTRY DAY SCHOOL361120,Cincinnati,Ohio,App GPA,SUMMIT COUNTRY DAY SCHOOL,3.688571429
SUMMIT COUNTY HIGH SCHOOL060135,Frisco,Colorado,Enrl GPA,SUMMIT COUNTY HIGH SCHOOL,
SUMMIT COUNTY HIGH SCHOOL060135,Frisco,Colorado,Adm GPA,SUMMIT COUNTY HIGH SCHOOL,4.08
SUMMIT COUNTY HIGH SCHOOL060135,Frisco,Colorado,App GPA,SUMMIT COUNTY HIGH SCHOOL,11.34975
SUMMIT HIGH SCHOOL050897,Fontana,San Bernardino,Enrl GPA,SUMMIT HIGH SCHOOL,34.667419514
SUMMIT HIGH SCHOOL050897,Fontana,San Bernardino,Adm GPA,SUMMIT HIGH SCHOOL,34.318262669
SUMMIT HIGH SCHOOL050897,Fontana,San Bernardino,App GPA,SUMMIT HIGH SCHOOL,32.135657297
SUMMIT HIGH SCHOOL311420,Summit,New Jersey,Enrl GPA,SUMMIT HIGH SCHOOL,
SUMMIT HIGH SCHOOL311420,Summit,New Jersey,Adm GPA,SUMMIT HIGH SCHOOL,11.541428571
SUMMIT HIGH SCHOOL311420,Summit,New Jersey,App GPA,SUMMIT HIGH SCHOOL,36.442765406
SUMMIT HIGH SCHOOL380096,Bend,Oregon,Enrl GPA,SUMMIT HIGH SCHOOL,4.105
SUMMIT HIGH SCHOOL380096,Bend,Oregon,Adm GPA,SUMMIT HIGH SCHOOL,31.818408907
SUMMIT HIGH SCHOOL380096,Bend,Oregon,App GPA,SUMMIT HIGH SCHOOL,42.946376804
SUMMIT LEADERSHIP ACADEMY051084,Hesperia,San Bernardino,Enrl GPA,SUMMIT LEADERSHIP ACADEMY,
SUMMIT LEADERSHIP ACADEMY051084,Hesperia,San Bernardino,Adm GPA,SUMMIT LEADERSHIP ACADEMY,
SUMMIT LEADERSHIP ACADEMY051084,Hesperia,San Bernardino,App GPA,SUMMIT LEADERSHIP ACADEMY,3.586
SUMMIT PREPARATORY HIGH SCHOOL053878,Redwood City,San Mateo,Enrl GPA,SUMMIT PREPARATORY HIGH SCHOOL,42.185440811
SUMMIT PREPARATORY HIGH SCHOOL053878,Redwood City,San Mateo,Adm GPA,SUMMIT PREPARATORY HIGH SCHOOL,41.910746408
SUMMIT PREPARATORY HIGH SCHOOL053878,Redwood City,San Mateo,App GPA,SUMMIT PREPARATORY HIGH SCHOOL,40.897213685
SUMMIT PUBLIC SCHOOL-RAINIER054621,San Jose,Santa Clara,Enrl GPA,SUMMIT PUBLIC SCHOOL-RAINIER,11.894709957
SUMMIT PUBLIC SCHOOL-RAINIER054621,San Jose,Santa Clara,Adm GPA,SUMMIT PUBLIC SCHOOL-RAINIER,11.883173204
SUMMIT PUBLIC SCHOOL-RAINIER054621,San Jose,Santa Clara,App GPA,SUMMIT PUBLIC SCHOOL-RAINIER,11.484148903
SUMMIT PUBLIC SCHOOL-TAHOMA054620,San Jose,Santa Clara,Enrl GPA,SUMMIT PUBLIC SCHOOL-TAHOMA,11.962233766
SUMMIT PUBLIC SCHOOL-TAHOMA054620,San Jose,Santa Clara,Adm GPA,SUMMIT PUBLIC SCHOOL-TAHOMA,11.911850202
SUMMIT PUBLIC SCHOOL-TAHOMA054620,San Jose,Santa Clara,App GPA,SUMMIT PUBLIC SCHOOL-TAHOMA,11.609327993
SUMMIT PUBLIC SCHOOLS SHASTA054815,Daly City,San Mateo,Enrl GPA,SUMMIT PUBLIC SCHOOLS SHASTA,4.164444444
SUMMIT PUBLIC SCHOOLS SHASTA054815,Daly City,San Mateo,Adm GPA,SUMMIT PUBLIC SCHOOLS SHASTA,4.145121951
SUMMIT PUBLIC SCHOOLS SHASTA054815,Daly City,San Mateo,App GPA,SUMMIT PUBLIC SCHOOLS SHASTA,4.015535714
SUMNER HIGH SCHOOL481345,Sumner,Washington,Enrl GPA,SUMNER HIGH SCHOOL,
SUMNER HIGH SCHOOL481345,Sumner,Washington,Adm GPA,SUMNER HIGH SCHOOL,
SUMNER HIGH SCHOOL481345,Sumner,Washington,App GPA,SUMNER HIGH SCHOOL,8.285
SUN PRAIRIE HIGH SCHOOL502242,Sun Prairie,Wisconsin,Enrl GPA,SUN PRAIRIE HIGH SCHOOL,
SUN PRAIRIE HIGH SCHOOL502242,Sun Prairie,Wisconsin,Adm GPA,SUN PRAIRIE HIGH SCHOOL,4.05
SUN PRAIRIE HIGH SCHOOL502242,Sun Prairie,Wisconsin,App GPA,SUN PRAIRIE HIGH SCHOOL,4.01875
SUN VALLEY HIGH SCHOOL054363,Sun Valley,Los Angeles,Enrl GPA,SUN VALLEY HIGH SCHOOL,15.275714286
SUN VALLEY HIGH SCHOOL054363,Sun Valley,Los Angeles,Adm GPA,SUN VALLEY HIGH SCHOOL,15.158
SUN VALLEY HIGH SCHOOL054363,Sun Valley,Los Angeles,App GPA,SUN VALLEY HIGH SCHOOL,21.327638979
SUN VALLEY MAGNET SCHOOL054787,Sun Valley,Los Angeles,Enrl GPA,SUN VALLEY MAGNET SCHOOL,
SUN VALLEY MAGNET SCHOOL054787,Sun Valley,Los Angeles,Adm GPA,SUN VALLEY MAGNET SCHOOL,3.8975
SUN VALLEY MAGNET SCHOOL054787,Sun Valley,Los Angeles,App GPA,SUN VALLEY MAGNET SCHOOL,3.566666667
SUNCOAST COMMUNITY HIGH SCHOOL101466,Riviera Beach,Florida,Enrl GPA,SUNCOAST COMMUNITY HIGH SCHOOL,
SUNCOAST COMMUNITY HIGH SCHOOL101466,Riviera Beach,Florida,Adm GPA,SUNCOAST COMMUNITY HIGH SCHOOL,24.010771173
SUNCOAST COMMUNITY HIGH SCHOOL101466,Riviera Beach,Florida,App GPA,SUNCOAST COMMUNITY HIGH SCHOOL,42.849975851
SUNNY HILLS HIGH SCHOOL051008,Fullerton,Orange,Enrl GPA,SUNNY HILLS HIGH SCHOOL,89.763631084
SUNNY HILLS HIGH SCHOOL051008,Fullerton,Orange,Adm GPA,SUNNY HILLS HIGH SCHOOL,89.463133389
SUNNY HILLS HIGH SCHOOL051008,Fullerton,Orange,App GPA,SUNNY HILLS HIGH SCHOOL,87.384528033
SUNNYSIDE HIGH SCHOOL051045,Fresno,Fresno,Enrl GPA,SUNNYSIDE HIGH SCHOOL,61.542545186
SUNNYSIDE HIGH SCHOOL051045,Fresno,Fresno,Adm GPA,SUNNYSIDE HIGH SCHOOL,61.177226849
SUNNYSIDE HIGH SCHOOL051045,Fresno,Fresno,App GPA,SUNNYSIDE HIGH SCHOOL,58.396998210
SUNNYSLOPE HIGH SCHOOL030425,Phoenix,Arizona,Enrl GPA,SUNNYSLOPE HIGH SCHOOL,
SUNNYSLOPE HIGH SCHOOL030425,Phoenix,Arizona,Adm GPA,SUNNYSLOPE HIGH SCHOOL,8.002
SUNNYSLOPE HIGH SCHOOL030425,Phoenix,Arizona,App GPA,SUNNYSLOPE HIGH SCHOOL,23.517857143
SUNRISE MOUNTAIN HIGH SCHOOL030254,Peoria,Arizona,Enrl GPA,SUNRISE MOUNTAIN HIGH SCHOOL,
SUNRISE MOUNTAIN HIGH SCHOOL030254,Peoria,Arizona,Adm GPA,SUNRISE MOUNTAIN HIGH SCHOOL,
SUNRISE MOUNTAIN HIGH SCHOOL030254,Peoria,Arizona,App GPA,SUNRISE MOUNTAIN HIGH SCHOOL,16.22225
SUNSET HIGH SCHOOL050864,Encinitas,San Diego,Enrl GPA,SUNSET HIGH SCHOOL,
SUNSET HIGH SCHOOL050864,Encinitas,San Diego,Adm GPA,SUNSET HIGH SCHOOL,3.718
SUNSET HIGH SCHOOL050864,Encinitas,San Diego,App GPA,SUNSET HIGH SCHOOL,3.578333333
SUNSET HIGH SCHOOL380082,Portland,Oregon,Enrl GPA,SUNSET HIGH SCHOOL,15.562
SUNSET HIGH SCHOOL380082,Portland,Oregon,Adm GPA,SUNSET HIGH SCHOOL,72.967447797
SUNSET HIGH SCHOOL380082,Portland,Oregon,App GPA,SUNSET HIGH SCHOOL,85.967724902
SUNWAY COLLEGE686424,"n/a ",MALAYSIA,Enrl GPA,SUNWAY COLLEGE,
SUNWAY COLLEGE686424,"n/a ",MALAYSIA,Adm GPA,SUNWAY COLLEGE,11.505848485
SUNWAY COLLEGE686424,"n/a ",MALAYSIA,App GPA,SUNWAY COLLEGE,18.595954545
SURABAYA INTERNATIONAL SCHOOL672146,"n/a ",INDONESIA,Enrl GPA,SURABAYA INTERNATIONAL SCHOOL,
SURABAYA INTERNATIONAL SCHOOL672146,"n/a ",INDONESIA,Adm GPA,SURABAYA INTERNATIONAL SCHOOL,4.015
SURABAYA INTERNATIONAL SCHOOL672146,"n/a ",INDONESIA,App GPA,SURABAYA INTERNATIONAL SCHOOL,7.465694444
SUSAN MILLER DORSEY HIGH SCHL051795,Los Angeles,Los Angeles,Enrl GPA,SUSAN MILLER DORSEY HIGH SCHL,80.952936153
SUSAN MILLER DORSEY HIGH SCHL051795,Los Angeles,Los Angeles,Adm GPA,SUSAN MILLER DORSEY HIGH SCHL,87.501727563
SUSAN MILLER DORSEY HIGH SCHL051795,Los Angeles,Los Angeles,App GPA,SUSAN MILLER DORSEY HIGH SCHL,80.647370044
SUTTER HIGH SCHOOL053475,Sutter,Sutter,Enrl GPA,SUTTER HIGH SCHOOL,19.974305556
