Calculation1,City,County/State/Country,Measure Names,School,Measure Values
ACADEMY SOFTWARE ENGINEERING333428,New York,New York,Adm GPA,ACADEMY SOFTWARE ENGINEERING,
ACADEMY SOFTWARE ENGINEERING333428,New York,New York,App GPA,ACADEMY SOFTWARE ENGINEERING,3.718333333
ACADEMY TECHNOLOGY CLASSICS320592,Santa Fe,New Mexico,Enrl GPA,ACADEMY TECHNOLOGY CLASSICS,
ACADEMY TECHNOLOGY CLASSICS320592,Santa Fe,New Mexico,Adm GPA,ACADEMY TECHNOLOGY CLASSICS,
ACADEMY TECHNOLOGY CLASSICS320592,Santa Fe,New Mexico,App GPA,ACADEMY TECHNOLOGY CLASSICS,7.782
ACADEMY-SAN FRAN @ MCATEER054439,San Francisco,San Francisco,Enrl GPA,ACADEMY-SAN FRAN @ MCATEER,23.4435
ACADEMY-SAN FRAN @ MCATEER054439,San Francisco,San Francisco,Adm GPA,ACADEMY-SAN FRAN @ MCATEER,22.997095405
ACADEMY-SAN FRAN @ MCATEER054439,San Francisco,San Francisco,App GPA,ACADEMY-SAN FRAN @ MCATEER,22.003615789
ACALANES HIGH SCHOOL051315,Lafayette,Contra Costa,Enrl GPA,ACALANES HIGH SCHOOL,89.031571872
ACALANES HIGH SCHOOL051315,Lafayette,Contra Costa,Adm GPA,ACALANES HIGH SCHOOL,89.229722804
ACALANES HIGH SCHOOL051315,Lafayette,Contra Costa,App GPA,ACALANES HIGH SCHOOL,87.224684775
ACCELERATED ELEMENTARY/SEC SCH030551,Tucson,Arizona,Enrl GPA,ACCELERATED ELEMENTARY/SEC SCH,
ACCELERATED ELEMENTARY/SEC SCH030551,Tucson,Arizona,Adm GPA,ACCELERATED ELEMENTARY/SEC SCH,
ACCELERATED ELEMENTARY/SEC SCH030551,Tucson,Arizona,App GPA,ACCELERATED ELEMENTARY/SEC SCH,3.94
ACE CHARTER HIGH SCHOOL054660,San Jose,Santa Clara,Enrl GPA,ACE CHARTER HIGH SCHOOL,3.6925
ACE CHARTER HIGH SCHOOL054660,San Jose,Santa Clara,Adm GPA,ACE CHARTER HIGH SCHOOL,3.768461538
ACE CHARTER HIGH SCHOOL054660,San Jose,Santa Clara,App GPA,ACE CHARTER HIGH SCHOOL,7.271491228
ACS COBHAM INTL SCHOOL724190,"n/a ",ENGLAND,Enrl GPA,ACS COBHAM INTL SCHOOL,
ACS COBHAM INTL SCHOOL724190,"n/a ",ENGLAND,Adm GPA,ACS COBHAM INTL SCHOOL,3.838
ACS COBHAM INTL SCHOOL724190,"n/a ",ENGLAND,App GPA,ACS COBHAM INTL SCHOOL,46.393345238
ACS INTERNATIONAL687199,"n/a ",SINGAPORE,Enrl GPA,ACS INTERNATIONAL,
ACS INTERNATIONAL687199,"n/a ",SINGAPORE,Adm GPA,ACS INTERNATIONAL,14.993571429
ACS INTERNATIONAL687199,"n/a ",SINGAPORE,App GPA,ACS INTERNATIONAL,18.149605509
ACTON-BOXBOROUGH REGIONAL HS222297,Acton,Massachusetts,Enrl GPA,ACTON-BOXBOROUGH REGIONAL HS,3.576
ACTON-BOXBOROUGH REGIONAL HS222297,Acton,Massachusetts,Adm GPA,ACTON-BOXBOROUGH REGIONAL HS,46.021357143
ACTON-BOXBOROUGH REGIONAL HS222297,Acton,Massachusetts,App GPA,ACTON-BOXBOROUGH REGIONAL HS,77.010390253
ADDISON TRAIL HIGH SCHOOL140003,Addison,Illinois,Enrl GPA,ADDISON TRAIL HIGH SCHOOL,
ADDISON TRAIL HIGH SCHOOL140003,Addison,Illinois,Adm GPA,ADDISON TRAIL HIGH SCHOOL,
ADDISON TRAIL HIGH SCHOOL140003,Addison,Illinois,App GPA,ADDISON TRAIL HIGH SCHOOL,11.302
ADELANTO HIGH SCHOOL054672,Adelanto,San Bernardino,Enrl GPA,ADELANTO HIGH SCHOOL,11.588208333
ADELANTO HIGH SCHOOL054672,Adelanto,San Bernardino,Adm GPA,ADELANTO HIGH SCHOOL,11.355328649
ADELANTO HIGH SCHOOL054672,Adelanto,San Bernardino,App GPA,ADELANTO HIGH SCHOOL,10.380621706
ADELSON SCHOOL THE290229,Las Vegas,Nevada,Enrl GPA,ADELSON SCHOOL THE,
ADELSON SCHOOL THE290229,Las Vegas,Nevada,Adm GPA,ADELSON SCHOOL THE,7.73425
ADELSON SCHOOL THE290229,Las Vegas,Nevada,App GPA,ADELSON SCHOOL THE,7.66625
ADITYA BIRLA WORLD ACADEMY671666,"n/a ",INDIA,Enrl GPA,ADITYA BIRLA WORLD ACADEMY,
ADITYA BIRLA WORLD ACADEMY671666,"n/a ",INDIA,Adm GPA,ADITYA BIRLA WORLD ACADEMY,3.76875
ADITYA BIRLA WORLD ACADEMY671666,"n/a ",INDIA,App GPA,ADITYA BIRLA WORLD ACADEMY,7.683666667
ADLAI E STEVENSON HIGH SCHOOL143550,Lincolnshire,Illinois,Enrl GPA,ADLAI E STEVENSON HIGH SCHOOL,16.491001082
ADLAI E STEVENSON HIGH SCHOOL143550,Lincolnshire,Illinois,Adm GPA,ADLAI E STEVENSON HIGH SCHOOL,79.459749599
ADLAI E STEVENSON HIGH SCHOOL143550,Lincolnshire,Illinois,App GPA,ADLAI E STEVENSON HIGH SCHOOL,83.934112068
ADMIRAL FARRAGUT ACADEMY101495,Saint Petersburg,Florida,Enrl GPA,ADMIRAL FARRAGUT ACADEMY,
ADMIRAL FARRAGUT ACADEMY101495,Saint Petersburg,Florida,Adm GPA,ADMIRAL FARRAGUT ACADEMY,3.852
ADMIRAL FARRAGUT ACADEMY101495,Saint Petersburg,Florida,App GPA,ADMIRAL FARRAGUT ACADEMY,18.508777778
ADMIRAL FARRAGUT ACADEMY101495,St Petersburg,Florida,Enrl GPA,ADMIRAL FARRAGUT ACADEMY,
ADMIRAL FARRAGUT ACADEMY101495,St Petersburg,Florida,Adm GPA,ADMIRAL FARRAGUT ACADEMY,
ADMIRAL FARRAGUT ACADEMY101495,St Petersburg,Florida,App GPA,ADMIRAL FARRAGUT ACADEMY,3.925
ADOLFO CAMARILLO HIGH SCHOOL050438,Camarillo,Ventura,Enrl GPA,ADOLFO CAMARILLO HIGH SCHOOL,93.354703482
ADOLFO CAMARILLO HIGH SCHOOL050438,Camarillo,Ventura,Adm GPA,ADOLFO CAMARILLO HIGH SCHOOL,92.621169098
ADOLFO CAMARILLO HIGH SCHOOL050438,Camarillo,Ventura,App GPA,ADOLFO CAMARILLO HIGH SCHOOL,90.033626349
ADRIAN C WILCOX HIGH SCHOOL053276,Santa Clara,Santa Clara,Enrl GPA,ADRIAN C WILCOX HIGH SCHOOL,93.125314710
ADRIAN C WILCOX HIGH SCHOOL053276,Santa Clara,Santa Clara,Adm GPA,ADRIAN C WILCOX HIGH SCHOOL,92.464146521
ADRIAN C WILCOX HIGH SCHOOL053276,Santa Clara,Santa Clara,App GPA,ADRIAN C WILCOX HIGH SCHOOL,90.306539682
ADVANCED MATH/SCI ACAD CHARTER221349,Marlborough,Massachusetts,Enrl GPA,ADVANCED MATH/SCI ACAD CHARTER,
ADVANCED MATH/SCI ACAD CHARTER221349,Marlborough,Massachusetts,Adm GPA,ADVANCED MATH/SCI ACAD CHARTER,4.074285714
ADVANCED MATH/SCI ACAD CHARTER221349,Marlborough,Massachusetts,App GPA,ADVANCED MATH/SCI ACAD CHARTER,15.710579710
ADVANCED TECHNOLOGIES ACADEMY290134,Las Vegas,Nevada,Enrl GPA,ADVANCED TECHNOLOGIES ACADEMY,7.970333333
ADVANCED TECHNOLOGIES ACADEMY290134,Las Vegas,Nevada,Adm GPA,ADVANCED TECHNOLOGIES ACADEMY,35.756027778
ADVANCED TECHNOLOGIES ACADEMY290134,Las Vegas,Nevada,App GPA,ADVANCED TECHNOLOGIES ACADEMY,71.284600716
AECS MAGNOLIA MAARUTI SCHOOL671672,"n/a ",INDIA,Enrl GPA,AECS MAGNOLIA MAARUTI SCHOOL,
AECS MAGNOLIA MAARUTI SCHOOL671672,"n/a ",INDIA,Adm GPA,AECS MAGNOLIA MAARUTI SCHOOL,4
AECS MAGNOLIA MAARUTI SCHOOL671672,"n/a ",INDIA,App GPA,AECS MAGNOLIA MAARUTI SCHOOL,4
AFFILIATED HIGH SC PEKING UNIV694474,"n/a ","CHINA, PEOPLES REPUBLIC",Enrl GPA,AFFILIATED HIGH SC PEKING UNIV,14.587696970
AFFILIATED HIGH SC PEKING UNIV694474,"n/a ","CHINA, PEOPLES REPUBLIC",Adm GPA,AFFILIATED HIGH SC PEKING UNIV,18.040501554
AFFILIATED HIGH SC PEKING UNIV694474,"n/a ","CHINA, PEOPLES REPUBLIC",App GPA,AFFILIATED HIGH SC PEKING UNIV,17.605410741
AFFILIATED HS FUJIAN NORMAL U694580,"n/a ","CHINA, PEOPLES REPUBLIC",Enrl GPA,AFFILIATED HS FUJIAN NORMAL U,
AFFILIATED HS FUJIAN NORMAL U694580,"n/a ","CHINA, PEOPLES REPUBLIC",Adm GPA,AFFILIATED HS FUJIAN NORMAL U,3.796
AFFILIATED HS FUJIAN NORMAL U694580,"n/a ","CHINA, PEOPLES REPUBLIC",App GPA,AFFILIATED HS FUJIAN NORMAL U,7.130714286
