Calculation1,Campus,City,Count,County/State/ Territory,Fall Term,Gender,School,Pivot Field Values
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,App,Alameda,2017,Female,LPS OAKLAND R&D CAMPUS,16
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,Adm,Alameda,2017,All,LPS OAKLAND R&D CAMPUS,11
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,App,Alameda,2017,All,LPS OAKLAND R&D CAMPUS,20
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,Adm,Alameda,2016,Female,LPS OAKLAND R&D CAMPUS,5
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,App,Alameda,2016,Female,LPS OAKLAND R&D CAMPUS,16
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,Adm,Alameda,2016,All,LPS OAKLAND R&D CAMPUS,6
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,App,Alameda,2016,All,LPS OAKLAND R&D CAMPUS,19
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Enr,Alameda,2018,Male,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Adm,Alameda,2018,Male,LPS OAKLAND R&D CAMPUS,7
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,App,Alameda,2018,Male,LPS OAKLAND R&D CAMPUS,9
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Enr,Alameda,2018,Female,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Adm,Alameda,2018,Female,LPS OAKLAND R&D CAMPUS,8
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,App,Alameda,2018,Female,LPS OAKLAND R&D CAMPUS,13
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Enr,Alameda,2018,All,LPS OAKLAND R&D CAMPUS,6
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Adm,Alameda,2018,All,LPS OAKLAND R&D CAMPUS,15
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,App,Alameda,2018,All,LPS OAKLAND R&D CAMPUS,22
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Enr,Alameda,2017,Male,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Adm,Alameda,2017,Male,LPS OAKLAND R&D CAMPUS,4
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,App,Alameda,2017,Male,LPS OAKLAND R&D CAMPUS,5
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Enr,Alameda,2017,Female,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Adm,Alameda,2017,Female,LPS OAKLAND R&D CAMPUS,6
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,App,Alameda,2017,Female,LPS OAKLAND R&D CAMPUS,11
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Enr,Alameda,2017,All,LPS OAKLAND R&D CAMPUS,6
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Adm,Alameda,2017,All,LPS OAKLAND R&D CAMPUS,10
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,App,Alameda,2017,All,LPS OAKLAND R&D CAMPUS,16
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Enr,Alameda,2015,Female,LPS OAKLAND R&D CAMPUS,4
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Adm,Alameda,2015,Female,LPS OAKLAND R&D CAMPUS,6
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,App,Alameda,2015,Female,LPS OAKLAND R&D CAMPUS,9
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Enr,Alameda,2015,All,LPS OAKLAND R&D CAMPUS,5
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Adm,Alameda,2015,All,LPS OAKLAND R&D CAMPUS,7
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,App,Alameda,2015,All,LPS OAKLAND R&D CAMPUS,11
LPS OAKLAND R&D CAMPUS54704,Riverside,Oakland,Adm,Alameda,2016,Female,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Riverside,Oakland,App,Alameda,2016,Female,LPS OAKLAND R&D CAMPUS,5
LPS OAKLAND R&D CAMPUS54704,Riverside,Oakland,Adm,Alameda,2016,All,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Riverside,Oakland,App,Alameda,2016,All,LPS OAKLAND R&D CAMPUS,5
LPS OAKLAND R&D CAMPUS54704,Santa Barbara,Oakland,Enr,Alameda,2016,Female,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Santa Barbara,Oakland,Adm,Alameda,2016,Female,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Santa Barbara,Oakland,App,Alameda,2016,Female,LPS OAKLAND R&D CAMPUS,14
LPS OAKLAND R&D CAMPUS54704,Santa Barbara,Oakland,Enr,Alameda,2016,All,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Santa Barbara,Oakland,Adm,Alameda,2016,All,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Santa Barbara,Oakland,App,Alameda,2016,All,LPS OAKLAND R&D CAMPUS,14
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Adm,Alameda,2017,Male,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2017,Male,LPS OAKLAND R&D CAMPUS,5
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2017,Female,LPS OAKLAND R&D CAMPUS,13
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Adm,Alameda,2017,All,LPS OAKLAND R&D CAMPUS,5
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2017,All,LPS OAKLAND R&D CAMPUS,18
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Adm,Alameda,2016,Female,LPS OAKLAND R&D CAMPUS,7
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2016,Female,LPS OAKLAND R&D CAMPUS,17
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Adm,Alameda,2016,All,LPS OAKLAND R&D CAMPUS,8
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2016,All,LPS OAKLAND R&D CAMPUS,21
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Adm,Alameda,2015,Female,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2015,Female,LPS OAKLAND R&D CAMPUS,11
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Adm,Alameda,2015,All,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2015,All,LPS OAKLAND R&D CAMPUS,15
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Enr,Alameda,2014,Male,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Adm,Alameda,2014,Male,LPS OAKLAND R&D CAMPUS,3
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Enr,Alameda,2014,Female,LPS OAKLAND R&D CAMPUS,4
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Adm,Alameda,2014,Female,LPS OAKLAND R&D CAMPUS,4
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2014,Female,LPS OAKLAND R&D CAMPUS,8
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Enr,Alameda,2014,All,LPS OAKLAND R&D CAMPUS,7
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Adm,Alameda,2014,All,LPS OAKLAND R&D CAMPUS,7
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2014,All,LPS OAKLAND R&D CAMPUS,11
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,Adm,PA,2018,Female,OAKLAND CATHOLIC HIGH SCHOOL,5
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,App,PA,2018,Female,OAKLAND CATHOLIC HIGH SCHOOL,7
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,Adm,PA,2018,All,OAKLAND CATHOLIC HIGH SCHOOL,5
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,App,PA,2018,All,OAKLAND CATHOLIC HIGH SCHOOL,7
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,Adm,PA,2016,Female,OAKLAND CATHOLIC HIGH SCHOOL,3
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,App,PA,2016,Female,OAKLAND CATHOLIC HIGH SCHOOL,6
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,Adm,PA,2016,All,OAKLAND CATHOLIC HIGH SCHOOL,3
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,App,PA,2016,All,OAKLAND CATHOLIC HIGH SCHOOL,6
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,Adm,PA,2014,Female,OAKLAND CATHOLIC HIGH SCHOOL,3
OAKLAND CATHOLIC HIGH SCHOOL393775,Universitywide,Pittsburgh,Adm,PA,2014,All,OAKLAND CATHOLIC HIGH SCHOOL,3
OAKLAND CATHOLIC HIGH SCHOOL393775,Los Angeles,Pittsburgh,App,PA,2016,Female,OAKLAND CATHOLIC HIGH SCHOOL,6
OAKLAND CATHOLIC HIGH SCHOOL393775,Los Angeles,Pittsburgh,App,PA,2016,All,OAKLAND CATHOLIC HIGH SCHOOL,6
OAKLAND CATHOLIC HIGH SCHOOL393775,San Diego,Pittsburgh,Adm,PA,2018,Female,OAKLAND CATHOLIC HIGH SCHOOL,3
OAKLAND CATHOLIC HIGH SCHOOL393775,San Diego,Pittsburgh,App,PA,2018,Female,OAKLAND CATHOLIC HIGH SCHOOL,5
OAKLAND CATHOLIC HIGH SCHOOL393775,San Diego,Pittsburgh,Adm,PA,2018,All,OAKLAND CATHOLIC HIGH SCHOOL,3
OAKLAND CATHOLIC HIGH SCHOOL393775,San Diego,Pittsburgh,App,PA,2018,All,OAKLAND CATHOLIC HIGH SCHOOL,5
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2018,Male,OAKLAND CHARTER HIGH SCHOOL,15
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2018,Male,OAKLAND CHARTER HIGH SCHOOL,22
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2018,Male,OAKLAND CHARTER HIGH SCHOOL,38
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2018,Female,OAKLAND CHARTER HIGH SCHOOL,20
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2018,Female,OAKLAND CHARTER HIGH SCHOOL,30
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2018,Female,OAKLAND CHARTER HIGH SCHOOL,36
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2018,All,OAKLAND CHARTER HIGH SCHOOL,35
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2018,All,OAKLAND CHARTER HIGH SCHOOL,52
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2018,All,OAKLAND CHARTER HIGH SCHOOL,74
