Calculation1,Campus,City,Count,County/State/ Territory,Fall Term,School,Uad Uc Ethn 6 Cat,Pivot Field Values
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2017,OAKLAND CHARTER HIGH SCHOOL,Asian,33
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2017,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,8
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2017,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,13
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2017,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,23
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2017,OAKLAND CHARTER HIGH SCHOOL,African American,3
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2017,OAKLAND CHARTER HIGH SCHOOL,All,23
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2017,OAKLAND CHARTER HIGH SCHOOL,All,39
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2017,OAKLAND CHARTER HIGH SCHOOL,All,60
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2016,OAKLAND CHARTER HIGH SCHOOL,Asian,21
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2016,OAKLAND CHARTER HIGH SCHOOL,Asian,25
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2016,OAKLAND CHARTER HIGH SCHOOL,Asian,28
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2016,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,5
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2016,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,5
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2016,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,13
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2016,OAKLAND CHARTER HIGH SCHOOL,All,27
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2016,OAKLAND CHARTER HIGH SCHOOL,All,31
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2016,OAKLAND CHARTER HIGH SCHOOL,All,43
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2015,OAKLAND CHARTER HIGH SCHOOL,Asian,21
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2015,OAKLAND CHARTER HIGH SCHOOL,Asian,22
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2015,OAKLAND CHARTER HIGH SCHOOL,Asian,23
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2015,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,11
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2015,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,17
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2015,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,22
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2015,OAKLAND CHARTER HIGH SCHOOL,All,34
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2015,OAKLAND CHARTER HIGH SCHOOL,All,41
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2015,OAKLAND CHARTER HIGH SCHOOL,All,49
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2014,OAKLAND CHARTER HIGH SCHOOL,Asian,12
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2014,OAKLAND CHARTER HIGH SCHOOL,Asian,13
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2014,OAKLAND CHARTER HIGH SCHOOL,Asian,17
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2014,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,6
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2014,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,13
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2014,OAKLAND CHARTER HIGH SCHOOL,All,14
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2014,OAKLAND CHARTER HIGH SCHOOL,All,21
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2014,OAKLAND CHARTER HIGH SCHOOL,All,33
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2013,OAKLAND CHARTER HIGH SCHOOL,Asian,4
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2013,OAKLAND CHARTER HIGH SCHOOL,Asian,6
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2013,OAKLAND CHARTER HIGH SCHOOL,Asian,7
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Enr,Alameda,2013,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,3
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,Adm,Alameda,2013,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,8
OAKLAND CHARTER HIGH SCHOOL54303,Universitywide,Oakland,App,Alameda,2013,OAKLAND CHARTER HIGH SCHOOL,Hispanic/ Latino,11
